Month and year,Ad unit,Impressions,Viewability,Ad requests
06/2022,MMRadio,304724,"0,46",42724
06/2022,MMTelediarioBajio,2348,"0,93",412
06/2022,MMTelediarioCR,7044743,"0,24",15060599
06/2022,MMTelediarioGDL,2,"0,00",200
06/2022,MMTelediarioJuarez,456,"0,83",99700
06/2022,MMTelediarioLaguna,11,"0,00",3600
06/2022,MMTelediarioMty,68,"0,07",23500
06/2022,MMTelediarioMx,31,"0,00",5200
06/2022,MMTelediarioSaltillo,6745,"0,50",1126
06/2022,Multimedios_APP,94754,"0,88",16034
06/2022,Multimedios_Radio,66189,"0,89",6833
06/2022,NewTelediarioMx,27807934,"0,21",35212205
06/2022,Tablet_APP_NewTDMx,112,"0,96",141
06/2022,Telediario_APP,796,"0,90",103
07/2022,AMP_MMTelediarioCR,115082,"0,67",15506
07/2022,AMP_NewTelediarioMx,3860583,"0,66",5420854
07/2022,APP_MMTelediarioCR,2239,"0,81",5241
07/2022,APP_NewTDMx,203289,"0,82",52782
07/2022,Default,4469,"0,45",2240
07/2022,MMCostaRica,990,"0,04",223
07/2022,MMDigital,13927525,"0,45",17739950
07/2022,MMDigital_App,3,"1,00",300
07/2022,MMDigital_Passback,89473,"0,12",15018
07/2022,MMLaguna,127,"0,83",941
07/2022,MMLaguna_App,182,"0,94",28800
07/2022,MMPuebla,126,"0,91",550
07/2022,MMRadio,296809,"0,46",41242
07/2022,MMTelediarioBajio,193,"0,91",437
07/2022,MMTelediarioCR,6481561,"0,24",13204425
07/2022,MMTelediarioJuarez,298,"0,76",95700
07/2022,MMTelediarioLaguna,10,"0,22",2200
07/2022,MMTelediarioMty,75,"0,07",18600
07/2022,MMTelediarioMx,92,"0,00",11000
07/2022,MMTelediarioSaltillo,5303,"0,48",936
07/2022,Multimedios_APP,98199,"0,88",16345
07/2022,Multimedios_Radio,89333,"0,90",9201
07/2022,NewTelediarioMx,22042954,"0,22",28381287
07/2022,Tablet_APP_NewTDMx,921,"0,96",98300
07/2022,Telediario_APP,526,"0,90",73600
08/2022,AMP_MMTelediarioCR,89905,"0,62",11671
08/2022,AMP_NewTelediarioMx,632901,"0,56",1095578
